scenario_id,kpi_id,label,formula,unit,actual,target,status,control,source
MANDATORY_STRESS,SERVICE_TOTAL,Обслуживание общего спроса,min по годам (обслужено ÷ спрос),доля,1,"≥ 0,97",ok,"Проверяется в контуре по каждому году, нарушение выводится с годом и величиной",CASE_INPUT
MANDATORY_STRESS,SERVICE_CRITICAL,Обслуживание критического спроса,min по годам (обслужено критич. ÷ критич. спрос),доля,1,"≥ 0,99",ok,Критический спрос обслуживается первым внутри месяца,CASE_INPUT
MANDATORY_STRESS,LCOP,Стоимость тонны обслуженного спроса,(закупка + резервирование + хранение + OPEX + CAPEX) ÷ обслуженный объём,млн у.е./т,8.5221,"≤ 8,0 — ориентир команды",bad,"Пересчитывается при любом изменении плана, сравнивается между стратегиями",TEAM_TARGET
MANDATORY_STRESS,RESERVE_DAYS,Резерв на начало года,запас на начало года ÷ (спрос года ÷ 365),дней,45.0237,≥ 45,watch,"Проверка на начало каждого года, внутри года контролируется неотрицательность запаса",CASE_INPUT
MANDATORY_STRESS,END_RESERVE,Запас на конец горизонта,запас на 31.12.2040 ÷ (спрос 2040 ÷ 365),дней,45.0661,≥ 45 — решение команды,watch,Не позволяет проходить проверки за счёт опустошения узла к концу горизонта,TEAM_TARGET
MANDATORY_STRESS,EMERGENCY_SHARE,Доля аварийного канала в поставках,объём Emergency ÷ общий объём поставок,доля,0.015,"≤ 0,20 — решение команды",ok,Отдельно проверяется ограничение кейса: не базовый канал более двух лет подряд,TEAM_TARGET
MANDATORY_STRESS,TOP_OVERPAY,Оплачено сверх полученного,Σ (оплаченный объём − фактическая поставка) по каналам,т,0,→ 0,ok,"Показывает цену обязательств take-or-pay и недопоставок: резервировать больше, чем отбираем, невыгодно",TEAM_TARGET
MANDATORY_STRESS,LOSS_SHARE,Потери к обороту,Σ потерь ÷ Σ валового поступления,доля,0.0146,"≤ 0,045 — ориентир команды по базовому хранилищу; предел кейса один: ≤ 0,02 в стрессе",ok,"Определяется режимом хранилища; в стрессе ограничение жёстче и требует модернизации",CASE_INPUT
MANDATORY_STRESS,CAPEX_LIMIT,CAPEX к лимиту 2040 года,накопленный CAPEX ÷ 2800,доля,0.1929,"≤ 1,0",ok,Отдельно контролируется промежуточный лимит 1800 млн у.е. до конца 2037 года,CASE_INPUT
MANDATORY_STRESS,SHORTAGE_PROB,Вероятность дефицита за горизонт,доля прогонов Монте-Карло с дефицитом,доля,0.215,"≤ 0,20 — решение команды",bad,"Прогонов 1000, seed 42; отказы каналов считаются независимыми",TEAM_TARGET
